店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
コンコルド愛西日比野駅前,29.0,353.0,-425.06515580736544,3716.456090651558,0.37677053824362605
メガコンコルドみなと木場インター,38.0,483.0,-433.9047619047619,6203.459627329193,0.32919254658385094
オーギヤDO,13.0,53.0,-440.3207547169811,3739.4150943396226,0.37735849056603776
コンコルド岐阜羽島駅前,41.0,354.0,-441.864406779661,6461.214689265536,0.3559322033898305
キング観光サウザンド桑名サンシパーク,40.0,477.0,-444.5157232704403,4569.9035639413,0.35639412997903563
キング観光サウザンド松阪,54.0,160.0,-452.675,2905.1375,0.31875
ZENT豊橋藤沢店,22.0,422.0,-464.542654028436,6325.42654028436,0.36729857819905215
SR21中川,8.0,11.0,-470.3636363636364,799.6363636363636,0.09090909090909091
ラッキープラザ関,39.0,329.0,-471.96656534954406,4155.869300911854,0.3404255319148936
パチンコFUJI可児,9.0,30.0,-479.03333333333336,1376.3666666666666,0.26666666666666666
MGM四日市,30.0,316.0,-487.7626582278481,5411.677215189873,0.33544303797468356
メガコンコルド大垣インター南,41.0,413.0,-499.8087167070218,5926.36803874092,0.3559322033898305
キング観光サウザンド桑名本店,43.0,670.0,-511.91492537313434,4843.234328358209,0.3641791044776119
ABC豊川,37.0,547.0,-547.4990859232175,6442.919561243144,0.37477148080438755
キング観光サウザンド津,25.0,580.0,-590.7655172413793,6058.268965517242,0.3586206896551724
オータ西,12.0,43.0,-596.0697674418604,3377.2558139534885,0.3023255813953488
KOHAKU堀田,14.0,37.0,-601.4864864864865,2209.189189189189,0.21621621621621623
KOHAKU春日井,14.0,56.0,-624.8928571428571,2729.3571428571427,0.19642857142857142
APANCLUB山ノ手,11.0,67.0,-638.4477611940298,4377.298507462687,0.3880597014925373
KEIZギャラリエアピタ知立,14.0,176.0,-651.5284090909091,5008.017045454545,0.32386363636363635
メガコンコルド豊川インター,34.0,823.0,-656.6646415552856,8155.489671931956,0.3778857837181045
yout碧南,14.0,62.0,-945.3548387096774,3221.451612903226,0.22580645161290322
