店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,3.0,16,78,-378.5,1478.4358974358975,0.23076923076923078
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,4.0,18,86,-347.7325581395349,1441.1627906976744,0.18604651162790697
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,5.0,17,83,-115.72289156626506,935.6506024096385,0.1686746987951807
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,6.0,17,83,-186.10843373493975,1206.3253012048192,0.20481927710843373
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,7.0,18,88,-84.18181818181819,984.2840909090909,0.19318181818181818
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,8.0,18,88,-48.88636363636363,1096.784090909091,0.17045454545454544
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,9.0,17,83,-437.10843373493975,2013.0843373493976,0.26506024096385544
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,0.0,43,74,36.58108108108108,531.918918918919,0.13513513513513514
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,1.0,55,96,-64.77083333333333,559.0416666666666,0.125
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,2.0,45,79,-166.72151898734177,573.1772151898734,0.11392405063291139
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,3.0,46,81,30.48148148148148,585.679012345679,0.13580246913580246
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,4.0,45,79,135.9493670886076,440.9113924050633,0.13924050632911392
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,5.0,44,76,-228.17105263157896,484.42105263157896,0.05263157894736842
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,6.0,45,79,-172.36708860759492,432.9493670886076,0.06329113924050633
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,7.0,44,76,90.27631578947368,409.5131578947368,0.10526315789473684
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,8.0,44,75,-8.706666666666667,512.9866666666667,0.13333333333333333
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,9.0,43,74,126.44594594594595,529.5,0.14864864864864866
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,0.0,46,52,33.09615384615385,703.0384615384615,0.3076923076923077
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,1.0,59,68,-146.44117647058823,1080.8970588235295,0.23529411764705882
